,ndcItem,ndc9,ndc10,rxcui,splSetIdItem
466,41520050748,41520-507,41520-507-48,849574,0ac4c343-a5b6-4f69-a75a-87074dc867e8
473,55910064880,55910-648,55910-648-80,1053346,0ac4d3b9-5171-48ae-8eaa-49f4a59cb4b3
474,71205049802,71205-498,71205-498-02,314229,0aced3eb-cb0b-4135-905c-b274505aa740
480,50594004130,50594-041,50594-041-30,562600,0ad55984-43f0-4b1e-b306-158531dfcb10
481,58602080107,58602-801,58602-801-07,310965,0ade8ee2-7c74-4b05-925e-d92742fc2b90
497,69539002505,69539-025,69539-025-05,810000,0ae4e2d1-305d-4045-95da-cfe7c2d8b435
499,69539002605,69539-026,69539-026-05,809987,0ae4e2d1-305d-4045-95da-cfe7c2d8b435
501,69539002705,69539-027,69539-027-05,809992,0ae4e2d1-305d-4045-95da-cfe7c2d8b435
503,69539002805,69539-028,69539-028-05,809996,0ae4e2d1-305d-4045-95da-cfe7c2d8b435
505,71205090400,71205-904,71205-904-00,993466,0aebf5f9-8cfa-4b77-ba40-821ce0a2b266
512,71205090500,71205-905,71205-905-00,993470,0aebf5f9-8cfa-4b77-ba40-821ce0a2b266
519,71205090600,71205-906,71205-906-00,993462,0aebf5f9-8cfa-4b77-ba40-821ce0a2b266
526,76162012822,76162-128,76162-128-22,308915,0aefbd70-4103-410c-83b2-f7baa0b80ddd
527,00185044801,0185-0448,0185-0448-01,351254,0aff6dda-b9fd-4f01-85b2-eb3097b760b0
529,64380094104,64380-941,64380-941-04,477367,0b1172d6-8591-40fe-987f-b0066cf71989
531,64380094204,64380-942,64380-942-04,477372,0b1172d6-8591-40fe-987f-b0066cf71989
533,78206012401,78206-124,78206-124-01,848200,0b9543ad-2ca7-430d-aef9-81c376dc2e6c
535,53041062858,53041-628,53041-628-58,1020138,0bae53e3-9661-4bc6-9fcc-da7fa131b034
536,24208002201,24208-022,24208-022-01,197939,0c0ba5c7-c53e-4e29-a7ff-48fddc5a9258
540,24208002301,24208-023,24208-023-01,197940,0c0ba5c7-c53e-4e29-a7ff-48fddc5a9258
544,53002230800,53002-2308,53002-2308-0,197885,0c10b2c5-ca18-4212-9832-b32bf6b747d4
546,63629224401,63629-2244,63629-2244-1,863664,0c21fba6-ae04-4204-b60f-dbf4be1bc867
547,54932050181,54932-501,54932-501-81,702519,0c810ed3-597c-4d2b-957f-5b9acb253d5c
548,43547054503,43547-545,43547-545-03,858804,0c829189-fba2-48f8-a23f-d5471a0345f6
553,43547054603,43547-546,43547-546-03,858813,0c829189-fba2-48f8-a23f-d5471a0345f6
558,43547054703,43547-547,43547-547-03,858817,0c829189-fba2-48f8-a23f-d5471a0345f6
563,43547054803,43547-548,43547-548-03,858810,0c829189-fba2-48f8-a23f-d5471a0345f6
568,72288059940,72288-599,72288-599-40,1431245,0c85cd4a-1676-4fb1-bfea-a1ea5638a015
569,42756110503,42756-1105,42756-1105-3,238910,0ca2b042-ea2c-4cbe-ae68-5a72a6bfa0b7
570,55910059826,55910-598,55910-598-26,1116572,0d08b279-561f-4658-bf3e-931781ef859f
571,68462030529,68462-305,68462-305-29,748961,0d2f8fea-3675-40d2-afd9-9fcb148dbd4b
572,36800077947,36800-779,36800-779-47,1148399,0d427360-ff9d-4e98-b218-6eb6c015dc6a
573,68196046901,68196-469,68196-469-01,645146,0d444bfc-c5f4-4201-b915-8892e87f2f0a
575,71610064030,71610-640,71610-640-30,866018,0d46cf24-07e1-4bb7-8b5b-5ce12a030afd
579,37835018422,37835-184,37835-184-22,308915,0d50c08a-833f-4821-a2ed-7801b885706f
580,11673003165,11673-031,11673-031-65,199047,0d6f2ac0-295e-47ce-aedb-8cadc1e66a63
582,00338042418,0338-0424,0338-0424-18,1658690,0d929726-76c3-48fc-b4e7-fd06409f9fb3
584,00338042812,0338-0428,0338-0428-12,1658690,0d929726-76c3-48fc-b4e7-fd06409f9fb3
585,00338043103,0338-0431,0338-0431-03,1362935,0d929726-76c3-48fc-b4e7-fd06409f9fb3
588,00338043304,0338-0433,0338-0433-04,1362935,0d929726-76c3-48fc-b4e7-fd06409f9fb3
