,ndcItem,ndc9,ndc10,rxcui,splSetIdItem
9838,77039001001,77039-010,77039-010-01,808520,d5833c6f-81dd-6ff6-e053-2995a90ac76d
9839,71205030430,71205-304,71205-304-30,483450,d58c0808-2ff9-4ce6-9c07-56f723592385
9842,73152002901,73152-029,73152-029-01,198286,d591352a-09d8-2fdc-e053-2a95a90ad8a5
9843,73152003001,73152-030,73152-030-01,198284,d591352a-09d8-2fdc-e053-2a95a90ad8a5
9844,73152003101,73152-031,73152-031-01,198285,d591352a-09d8-2fdc-e053-2a95a90ad8a5
9845,00143958401,0143-9584,0143-9584-01,238212,d5a18d74-0d40-46e2-aa0a-41d18609a536
9847,00143958501,0143-9585,0143-9585-01,238212,d5a18d74-0d40-46e2-aa0a-41d18609a536
9849,00143958601,0143-9586,0143-9586-01,1731590,d5a18d74-0d40-46e2-aa0a-41d18609a536
9853,00143958701,0143-9587,0143-9587-01,1731582,d5a18d74-0d40-46e2-aa0a-41d18609a536
9857,69067010204,69067-102,69067-102-04,2183907,d5a2b236-caf0-4f70-9267-3b8c859b1ec7
9859,11822047004,11822-0470,11822-0470-4,806728,d5b30fb2-4052-4a0c-e053-2a95a90aacd5
9860,62332008430,62332-084,62332-084-30,200311,d5c046b5-c3fd-4ef3-8245-c93796d4d880
9863,62332008530,62332-085,62332-085-30,310288,d5c046b5-c3fd-4ef3-8245-c93796d4d880
9866,62332008630,62332-086,62332-086-30,310289,d5c046b5-c3fd-4ef3-8245-c93796d4d880
9869,72288033162,72288-331,72288-331-62,849574,d5c185d9-0bea-4970-b1e7-201a51106ad6
9872,00363483701,0363-4837,0363-4837-01,866084,d5c79476-dde8-4a85-8878-bc2ac3a3d70b
9873,72189031360,72189-313,72189-313-60,310433,d5c9dd2c-b8ee-1406-e053-2995a90a0287
9876,51407061401,51407-614,51407-614-01,896758,d5ce687f-4a37-d3e6-e053-2995a90aa974
9878,51407061501,51407-615,51407-615-01,896762,d5ce687f-4a37-d3e6-e053-2995a90aa974
9880,51407061601,51407-616,51407-616-01,896766,d5ce687f-4a37-d3e6-e053-2995a90aa974
9881,71020003030,71020-030,71020-030-30,1046593,d5d15729-1dc1-2b44-e053-2a95a90a26c5
9883,00023451530,0023-4515,0023-4515-30,2397189,d5d3df4a-a311-4f2d-9a24-edfec1a6c9f9
9884,68071261803,68071-2618,68071-2618-3,858817,d5de9308-d491-4bb6-e053-2995a90a030c
9886,68071261903,68071-2619,68071-2619-3,1812011,d5df10bc-16ed-7a97-e053-2a95a90ab15e
9888,69315016301,69315-163,69315-163-01,1000064,d5df4beb-8048-4b83-aa59-19876437001d
9891,72189032005,72189-320,72189-320-05,309680,d5e00bad-abb4-63ad-e053-2a95a90a5abb
9892,42756110203,42756-1102,42756-1102-3,238910,d5ef3e65-35e8-4323-9f33-3076b561e105
9893,63824005718,63824-057,63824-057-18,1305603,d5f046c0-66b9-4cdc-9a1e-8e2cb5ece84f
9899,72189031905,72189-319,72189-319-05,857700,d5f215d4-9aa3-2ecf-e053-2995a90a2e89
9900,69483000630,69483-006,69483-006-30,238910,d5f42c30-343c-4e1d-950c-89bbd361fd27
9901,68071262206,68071-2622,68071-2622-6,749783,d5f4c2a2-6ff9-345c-e053-2995a90ae414
9902,68071262106,68071-2621,68071-2621-6,646456,d5f4c2d8-a637-4396-e053-2995a90a600f
9903,68071262309,68071-2623,68071-2623-9,966222,d5f5465f-61bb-7aaa-e053-2a95a90a8c3d
9904,37808066412,37808-664,37808-664-12,1043619,d5fde535-1f74-4e82-af24-c88b324c1c52
9908,27505009060,27505-090,27505-090-60,352188,d6007b01-b8ab-40fe-9747-9d361fc57cc5
9909,72189031618,72189-316,72189-316-18,312840,d60560d5-8e52-099d-e053-2a95a90a20af
9910,71679011105,71679-111,71679-111-05,310965,d60a6a11-8c06-cede-e053-2a95a90af7f9
9911,76176012801,76176-128,76176-128-01,199308,d6138877-77ac-5336-e053-2995a90a028f
9912,69484000630,69484-006,69484-006-30,238910,d6149dfd-f2a5-4bbd-913c-6a95efe5ffd2
9913,68343012301,68343-123,68343-123-01,308693,d61a6354-8194-da19-e053-2995a90a7e22
9914,68071262503,68071-2625,68071-2625-3,855942,d61cbb27-737d-948c-e053-2a95a90adaca
9916,63187069630,63187-696,63187-696-30,199889,d63b64dd-b420-4283-9bac-92ba43c9f429
9919,63868007901,63868-079,63868-079-01,1000990,d64a379a-5633-417d-b938-b04650204289
9920,00310470001,0310-4700,0310-4700-01,2099314,d6510282-1a57-4614-9859-299a227a089c
9921,61787051404,61787-514,61787-514-04,992212,d65f7ad8-8dbc-4a29-8b42-0c6d5d7f4ffc
9922,11673001801,11673-018,11673-018-01,198051,d664c45d-564a-4692-ae8f-8dd980ffcd87
9926,68071262809,68071-2628,68071-2628-9,198211,d66f709f-be34-3619-e053-2a95a90acb6d
9927,68071262700,68071-2627,68071-2627-0,197807,d66ff766-bf1b-9025-e053-2a95a90a04ca
9928,71309015403,71309-154,71309-154-03,313009,d6787875-3e0f-e506-e053-2a95a90a6eaa
9929,72189031203,72189-312,72189-312-03,476556,d67e2df4-4094-4f5a-e053-2a95a90ae4aa
9930,62440043934,62440-439,62440-439-34,581662,d67e62ed-19c0-4805-9f5a-a565f08acc2b
9932,72839061102,72839-611,72839-611-02,251577,d692e7e2-11c7-7b4a-e053-2a95a90ae17b
9933,68071262903,68071-2629,68071-2629-3,856999,d696662b-e4a4-3474-e053-2995a90a9389
9934,76176025101,76176-251,76176-251-01,311502,d69f3880-1f7e-dad4-e053-2a95a90a50e3
9935,76176025201,76176-252,76176-252-01,2003749,d6a142a8-1ba0-c57b-e053-2a95a90a60cd
9936,55700066190,55700-661,55700-661-90,197379,d6a905d9-4d12-468a-a302-af6ac1bf6b7c
9937,61919022390,61919-223,61919-223-90,856762,d6a9be39-ad73-984e-e053-2a95a90a4b96
9938,41163006505,41163-065,41163-065-05,237870,d6b49f0a-cf05-4b1b-8cad-c5795aa31645
9939,63629208501,63629-2085,63629-2085-1,1357010,d6b854a1-393c-470a-8cf0-05aa3b2d45d1
9940,00363555730,0363-5557,0363-5557-30,2590690,d6b8f762-af6e-7a98-e053-2a95a90aced7
9941,00363555821,0363-5558,0363-5558-21,351179,d6b9d4fc-b758-be32-e053-2995a90a2523
9942,72789000230,72789-002,72789-002-30,312504,d6c17c5d-eb05-40a5-b5db-c8fdb2d564e6
9943,00363935030,0363-9350,0363-9350-30,311975,d6c6c753-f604-473c-88b4-b5f83f1dd293
9944,70000034201,70000-0342,70000-0342-1,311975,d6c7a2ab-109d-40df-bce0-30c3531eb982
9945,70000034601,70000-0346,70000-0346-1,314119,d6c7a2ab-109d-40df-bce0-30c3531eb982
9946,71205090000,71205-900,71205-900-00,485423,d6dac6f6-eeb5-4019-8ac6-f98dc82592c6
9953,71205090100,71205-901,71205-901-00,485421,d6dac6f6-eeb5-4019-8ac6-f98dc82592c6
9960,64380015401,64380-154,64380-154-01,207362,d6e136ba-c9b1-4846-ae2a-98a29cb4504d
9961,64380015501,64380-155,64380-155-01,403840,d6e136ba-c9b1-4846-ae2a-98a29cb4504d
9962,64380015601,64380-156,64380-156-01,207364,d6e136ba-c9b1-4846-ae2a-98a29cb4504d
9963,63187012720,63187-127,63187-127-20,284215,d6e1a5f2-9dcb-49fb-a5b0-d7d543520ac3
9970,69884070005,69884-700,69884-700-05,1041882,d6e219a6-f4d6-b8df-e053-2995a90a5803
9971,69884070606,69884-706,69884-706-06,1053188,d6e2f275-4609-24e6-e053-2995a90a8dd3
9972,00093727010,0093-7270,0093-7270-10,904481,d6e4037f-aa11-416c-95e5-5703e6a65edd
9974,82442021360,82442-213,82442-213-60,853260,d6e4da17-427b-fc0f-e053-2995a90a9fdd
9975,71101020001,71101-200,71101-200-01,727137,d6e789c7-a55a-dc9a-e053-2a95a90a2bdb
9976,68071263203,68071-2632,68071-2632-3,402019,d6e8c52f-4dc3-5d54-e053-2995a90a9358
9977,52862013101,52862-131,52862-131-01,204754,d6ebe00c-b692-5171-e053-2a95a90a976c
9978,68071263002,68071-2630,68071-2630-2,617296,d6f7619e-9476-91fa-e053-2995a90a8fed
9979,68071263102,68071-2631,68071-2631-2,884173,d6f7ebb0-e05e-d382-e053-2a95a90a39f2
9984,68071263303,68071-2633,68071-2633-3,686924,d6f8af0e-660e-191c-e053-2995a90a45fc
9988,71101020801,71101-208,71101-208-01,204754,d6fad49b-8a49-7f7c-e053-2a95a90ae638
9989,68071263509,68071-2635,68071-2635-9,314111,d6fbe837-988a-7c75-e053-2995a90a599a
9990,68071263402,68071-2634,68071-2634-2,859747,d6fc0b22-a90d-2d87-e053-2995a90a979d
9991,52862013301,52862-133,52862-133-01,1148414,d7068e2b-c3b2-d16d-e053-2a95a90a6dd2
9997,00527530264,0527-5302,0527-5302-64,1357010,d70b2f30-75fc-46a4-ae76-7219682708dc
9999,60760052360,60760-523,60760-523-60,861007,d7103922-2007-1eb4-e053-2995a90aad4e
10000,00924520401,0924-5204,0924-5204-01,895749,d71047f6-1353-c758-e053-2995a90a962c
10005,73750009105,73750-091,73750-091-05,309367,d7183409-f6ff-4915-e053-2a95a90a0979
10007,00363645353,0363-6453,0363-6453-53,198467,d71a22e8-9e39-a672-e053-2a95a90a1403
10008,00363645250,0363-6452,0363-6452-50,308416,d71a571e-e2ce-7e0a-e053-2a95a90a53e0
10009,68400049802,68400-498,68400-498-02,581662,d7203ffc-628a-5342-e053-2a95a90a0df7
10010,68400047530,68400-475,68400-475-30,238910,d721864d-0950-8379-e053-2a95a90a3bcb
10012,68400047730,68400-477,68400-477-30,238910,d721ff57-0111-4bbb-e053-2995a90a1a70
10014,68400047830,68400-478,68400-478-30,238910,d722bf24-ae85-54f6-e053-2995a90a1d35
10016,63629899601,63629-8996,63629-8996-1,863664,d722c3eb-edd0-4b97-8228-80d98200dbed
10020,68400047930,68400-479,68400-479-30,238910,d722cdf3-7671-eb27-e053-2a95a90a09c4
10022,68071263709,68071-2637,68071-2637-9,859747,d72692bb-b62c-da15-e053-2a95a90a3ce2
10023,68071263603,68071-2636,68071-2636-3,860975,d738aacf-b2aa-7846-e053-2995a90a1617
10026,68071263803,68071-2638,68071-2638-3,1093060,d7392d9a-6378-2db2-e053-2995a90a53cd
10027,63824073216,63824-732,63824-732-16,1235472,d771095b-7de3-48f3-a125-8bc76e7d1778
10028,72189032105,72189-321,72189-321-05,403818,d771e69b-7d9b-13fa-e053-2995a90ac161
10029,76176036201,76176-362,76176-362-01,1037285,d77d31b7-05ec-4eec-e053-2995a90ae10d
10030,70677016101,70677-0161,70677-0161-1,1431245,d7897ed1-91d4-4f96-a6e5-2490e5429704
10031,63629211501,63629-2115,63629-2115-1,856783,d78c3429-458b-4d2c-82ac-ca6782c111a4
10032,68071264105,68071-2641,68071-2641-5,617430,d79a5d6c-753f-807a-e053-2995a90a79fa
10033,49483070101,49483-701,49483-701-01,310384,d7a4db7f-cdac-2b36-e053-2995a90a8d64
10035,49483070201,49483-702,49483-702-01,310385,d7a4db7f-cdac-2b36-e053-2995a90a8d64
10037,49483070301,49483-703,49483-703-01,313989,d7a4db7f-cdac-2b36-e053-2995a90a8d64
10040,62175032043,62175-320,62175-320-43,1098141,d7b66e13-00ed-48a9-a54a-8e474cc31d54
10042,62175032243,62175-322,62175-322-43,1098134,d7b66e13-00ed-48a9-a54a-8e474cc31d54
10044,64522000330,64522-003,64522-003-30,2002727,d7bb46a3-585e-44a9-851b-59cde0a9fe09
10045,71447012200,71447-122,71447-122-00,2266113,d7c12015-dca0-4ab1-e053-2a95a90a480c
10046,63824023720,63824-237,63824-237-20,1110988,d7c18e95-8d7b-4550-9a20-fc704a114adb
10050,69301002815,69301-028,69301-028-15,245593,d7c56652-bc25-40ae-8894-d3c3bb1084a9
10051,68400050930,68400-509,68400-509-30,238910,d7c6af67-d058-3e88-e053-2a95a90a83e0
10052,75249000501,75249-005,75249-005-01,253020,d7c78f30-1c21-1dbb-e053-2995a90a4f64
10053,00093092401,0093-0924,0093-0924-01,312132,d7cb66e0-d5be-4b09-b777-f2765cd8a57d
10055,61748001101,61748-011,61748-011-01,310218,d7cf3a73-bfd3-438a-952d-71cf0ec61628
10057,47682016113,47682-161,47682-161-13,1299145,d7d62ac1-1333-4366-884b-26537766ce38
10063,47682016213,47682-162,47682-162-13,1299145,d7d62ac1-1333-4366-884b-26537766ce38
10067,72288095701,72288-957,72288-957-01,359818,d7e1e75c-a491-486f-9ca2-4f994658845e
10070,60306011505,60306-115,60306-115-05,1482996,d7e57d67-4234-44a9-bbd3-72e99cd5bdb3
10072,79458000200,79458-002,79458-002-00,346298,d7f8fb94-0be1-686c-e053-2995a90a3c99
10073,70518239401,70518-2394,70518-2394-1,855338,d7fb4290-ed37-4ed3-ae51-c400191961dc
10074,71205018620,71205-186,71205-186-20,860975,d80aa4af-a8ce-4cae-b71c-05e1de829551
10079,30400070201,30400-702,30400-702-01,1042788,d80cad8d-da4c-049d-e053-2a95a90ac20e
10082,30400070301,30400-703,30400-703-01,1302906,d80d21cf-9463-7184-e053-2995a90a23f3
10086,71205045430,71205-454,71205-454-30,828358,d8112916-28ae-452c-8ec8-a4972e5f549b
10090,50090587600,50090-5876,50090-5876-0,1094104,d8155f91-d650-4021-91ee-f3b6c1055a36
10095,55150037101,55150-371,55150-371-01,2103182,d81ff8fd-5a41-41c6-8b56-10db4788ecfd
10097,53002920201,53002-9202,53002-9202-1,103456,d823803c-a125-4695-a04b-6c14b6a66ab6
10099,72189032530,72189-325,72189-325-30,979468,d8284747-07b6-9775-e053-2a95a90ad52d
10101,72189032790,72189-327,72189-327-90,979464,d838e918-2463-79f6-e053-2a95a90a948d
10102,72189032860,72189-328,72189-328-60,577127,d88925b8-9be6-d862-e053-2995a90a1612
10104,68071264203,68071-2642,68071-2642-3,854876,d889c0f8-f19e-0dfa-e053-2995a90a8243
10106,72189032306,72189-323,72189-323-06,197511,d88a22f4-2f61-17f2-e053-2995a90acd14
10107,72189032630,72189-326,72189-326-30,979471,d88ad738-a915-7679-e053-2a95a90a58c7
10109,68071264306,68071-2643,68071-2643-6,1245468,d88e4a9c-bc3d-220f-e053-2a95a90a3a51
10110,00143951401,0143-9514,0143-9514-01,282485,d89f33ac-8a6e-49e7-94fb-84e58aad65a8
10112,00143951501,0143-9515,0143-9515-01,2603284,d89f33ac-8a6e-49e7-94fb-84e58aad65a8
10114,68071264604,68071-2646,68071-2646-4,996520,d8b55d7c-c6b9-2b9a-e053-2995a90a501c
10115,37808039203,37808-392,37808-392-03,997420,d8b852a1-7315-4047-aed6-cd40c7a39e70
10120,68071264704,68071-2647,68071-2647-4,1648759,d8c68797-47a9-2956-e053-2a95a90a0149
10122,55882610001,55882-6100,55882-6100-1,545626,d8ccd386-1294-4c85-9187-4efd6db47baf
10124,62559070030,62559-700,62559-700-30,476345,d8d3fc24-a0c8-4b19-ac61-1ecf4ab32231
10126,62559070130,62559-701,62559-701-30,476349,d8d3fc24-a0c8-4b19-ac61-1ecf4ab32231
10128,62559070230,62559-702,62559-702-30,476350,d8d3fc24-a0c8-4b19-ac61-1ecf4ab32231
10130,62559070330,62559-703,62559-703-30,476351,d8d3fc24-a0c8-4b19-ac61-1ecf4ab32231
10132,43598047060,43598-470,43598-470-60,1482908,d8d8dd03-46b5-bd26-bb27-7ca31d8c3326
10133,68071264803,68071-2648,68071-2648-3,833709,d8dc372c-d31b-6c7c-e053-2a95a90ad7f0
10134,76348096001,76348-960,76348-960-01,1010895,d8df7f88-ca5b-60b8-e053-2a95a90a515e
10136,67979000201,67979-002,67979-002-01,1294641,d8fb000e-3cc9-4803-b71d-2cc597661977
10138,55301032686,55301-326,55301-326-86,1043619,d8ffd4e1-6189-462c-a3f9-a93a65e846ec
10139,52187054702,52187-547,52187-547-02,1494173,d915dae4-450a-6282-e053-2995a90ab50b
10140,52187055006,52187-550,52187-550-06,1436940,d9165c56-4c78-8d5a-e053-2995a90a6b2e
10141,52187055130,52187-551,52187-551-30,1436947,d9170a5e-730e-f7c7-e053-2995a90aa6bc
10142,44118070010,44118-700,44118-700-10,1494825,d91769aa-ca46-567f-e053-2a95a90a664b
10143,72189032990,72189-329,72189-329-90,198222,d9194033-7f5f-2a96-e053-2995a90a65a5
10144,71922010130,71922-101,71922-101-30,1992043,d923fa75-f556-45e3-9f52-39a62e89984b
10145,42851003880,42851-038,42851-038-80,244594,d9285ffa-6114-4798-9b16-169d2bb67355
10146,70942018301,70942-183,70942-183-01,1534792,d929d4f9-2193-0c4b-e053-2995a90a7435
10147,72189033103,72189-331,72189-331-03,197541,d92b7189-78fd-693d-e053-2a95a90a7c73
10148,55579040524,55579-405,55579-405-24,483017,d92be8ae-3173-0a9d-e053-2995a90abc63
10149,68071264909,68071-2649,68071-2649-9,606730,d92c29bf-6f84-0c4d-e053-2995a90abc3b
10150,39328009016,39328-090,39328-090-16,898715,d92c94e5-e542-4177-afa8-fa00ba17634c
10151,72189033080,72189-330,72189-330-80,1014314,d92e9eaf-3a79-76d7-e053-2995a90ae28d
10152,68084041611,68084-416,68084-416-11,200082,d9370dfc-283b-4a91-8e5e-18c35d2a78e6
10156,00536135795,0536-1357,0536-1357-95,1421893,d94292f7-10fc-48bf-e053-2995a90a8472
10157,71205064830,71205-648,71205-648-30,198239,d94e8865-d151-4fb1-bacd-f4e43819e3c2
10160,10237094110,10237-941,10237-941-10,2594774,d95240bb-02f2-3226-e053-2995a90afacd
10162,72189033260,72189-332,72189-332-60,849431,d95279d9-6e2a-0bd6-e053-2a95a90a447d
10163,72189033330,72189-333,72189-333-30,995218,d956063a-ef48-faca-e053-2995a90a0291
10164,79258014104,79258-141,79258-141-04,1362618,d9681642-2376-93f3-e053-2a95a90aa5c0
10165,00480943589,0480-9435,0480-9435-89,858342,d9685883-9d0b-81da-e053-2a95a90ab8d8
10166,79258071704,79258-717,79258-717-04,1046593,d96872bb-45bf-b895-e053-2a95a90a7a3b
10168,82615000401,82615-004,82615-004-01,1546238,d968c8ba-d02b-5158-e053-2995a90a7946
10169,71335144501,71335-1445,71335-1445-1,351250,d96efcdf-88ac-4153-9a38-4cd47e5bbb5b
10170,30400021501,30400-215,30400-215-01,664981,d976e5f0-1be5-d9c4-e053-2a95a90a44a4
10178,63629195001,63629-1950,63629-1950-1,197701,d9843c4f-9b46-467d-ada0-07a011c32448
10179,63187031930,63187-319,63187-319-30,197885,d9895efd-fb9d-4ce9-818a-31d724b16295
10182,63187046700,63187-467,63187-467-00,197887,d9895efd-fb9d-4ce9-818a-31d724b16295
10186,72189033505,72189-335,72189-335-05,860107,d9a589b4-bd32-0e45-e053-2a95a90ae67d
10187,50268064011,50268-640,50268-640-11,1738483,d9a5e0aa-e638-5d6e-75c2-20cb78fc4f43
10189,50268064211,50268-642,50268-642-11,1738503,d9a5e0aa-e638-5d6e-75c2-20cb78fc4f43
10191,50268064311,50268-643,50268-643-11,1738511,d9a5e0aa-e638-5d6e-75c2-20cb78fc4f43
10193,82615000201,82615-002,82615-002-01,1546238,d9a63ffa-4174-76f0-e053-2a95a90ab7c3
10194,43405000603,43405-006,43405-006-03,1293435,d9a93daa-4e24-6690-e053-2a95a90a147c
10197,72189033405,72189-334,72189-334-05,403818,d9b6a460-6377-76d0-e053-2995a90a3d05
10198,69473001701,69473-017,69473-017-01,106258,d9b79ea1-6558-543c-e053-2995a90ae53e
10199,68071265204,68071-2652,68071-2652-4,312087,d9bc4bcd-8466-3b02-e053-2a95a90a635f
10200,71839012301,71839-123,71839-123-01,1731582,d9df3900-a8c2-438b-8971-ba11ff91f90b
10202,71839012401,71839-124,71839-124-01,1731590,d9df3900-a8c2-438b-8971-ba11ff91f90b
10204,71839012501,71839-125,71839-125-01,238212,d9df3900-a8c2-438b-8971-ba11ff91f90b
10206,71839012601,71839-126,71839-126-01,238212,d9df3900-a8c2-438b-8971-ba11ff91f90b
10208,68071265403,68071-2654,68071-2654-3,199903,d9e27999-4ab8-7463-e053-2995a90a1dc4
10210,17478089210,17478-892,17478-892-10,854801,d9e299df-ad21-4ebb-a7a4-287a4c337e90
10212,68071265309,68071-2653,68071-2653-9,197905,d9e29a11-c0a7-c5a0-e053-2a95a90a5831
10213,57511050402,57511-0504,57511-0504-2,2603773,d9e462d9-f0fd-4168-e053-2995a90a95b2
10214,63824094711,63824-947,63824-947-11,2043505,d9e5a8d7-814c-4ab1-bb05-e4cb9155978e
10215,17478076610,17478-766,17478-766-10,260243,d9e6ec7d-85ea-41a7-88ec-88cac22d5b7d
10216,17478076710,17478-767,17478-767-10,312641,d9e6ec7d-85ea-41a7-88ec-88cac22d5b7d
10217,57511050302,57511-0503,57511-0503-2,2603764,d9f232c0-d154-536b-e053-2995a90af37d
10218,43598009604,43598-096,43598-096-04,2612671,d9f3723f-bf7d-9a72-2ef9-41c5508d6ab4
10221,71205062530,71205-625,71205-625-30,836395,d9fa3057-c7a5-46cf-a79e-abf99a4f804d
10224,47781062901,47781-629,47781-629-01,1091145,da15b9b7-1ad8-6226-a831-835a16cfc124
10225,47781063101,47781-631,47781-631-01,1091225,da15b9b7-1ad8-6226-a831-835a16cfc124
10226,00781577631,0781-5776,0781-5776-31,308460,da17665f-e184-4484-a452-4ebf3fd4d85c
10228,00781578931,0781-5789,0781-5789-31,248656,da17665f-e184-4484-a452-4ebf3fd4d85c
10229,70860020110,70860-201,70860-201-10,1736776,da19a970-f85c-4f13-8a45-6a673c23502e
10232,81085000101,81085-0001,81085-0001-1,797544,da1a4baa-05eb-4a75-82bb-39c547daef64
10234,86089090002,86089-900,86089-900-02,1241663,da2f7d2e-2d69-45c9-911e-8b1aef316765
10235,67877054930,67877-549,67877-549-30,597768,da3295fc-5210-46a3-a5cc-7b9ec9265eca
10236,67877055030,67877-550,67877-550-30,597770,da3295fc-5210-46a3-a5cc-7b9ec9265eca
10237,67877055130,67877-551,67877-551-30,597772,da3295fc-5210-46a3-a5cc-7b9ec9265eca
10238,79258075129,79258-751,79258-751-29,1046593,da331104-82fd-44dc-e053-2a95a90a645f
10239,43405000508,43405-005,43405-005-08,1293435,da3358ae-8679-6045-e053-2a95a90a50e3
10240,60954000203,60954-002,60954-002-03,1293435,da338796-de9c-be51-e053-2a95a90a2509
10243,79258079529,79258-795,79258-795-29,616805,da33a6ff-92f3-942f-e053-2995a90aa0db
10244,00378876058,0378-8760,0378-8760-58,2572292,da3fa070-b512-4568-871a-dc8d5a949d13
10247,68071265803,68071-2658,68071-2658-3,543546,da44d87a-159e-24d4-e053-2a95a90a09d9
10248,68071265602,68071-2656,68071-2656-2,630208,da44f13e-99d5-6d7a-e053-2a95a90aae65
10249,68071265703,68071-2657,68071-2657-3,998483,da4702fa-d3e9-7c71-e053-2995a90af334
10250,42291047201,42291-472,42291-472-01,197444,da471cd4-dcee-b026-e053-2a95a90a3d81
10252,59088048916,59088-489,59088-489-16,1436933,da5d8eae-8d64-d354-e053-2995a90a7999
10253,71335021701,71335-0217,71335-0217-1,198013,da61463f-f87b-4aba-b538-7264252cadb8
10255,37835012722,37835-127,37835-127-22,308915,da70ba03-ed38-4fce-939e-04c7eec06087
10256,66357012001,66357-120,66357-120-01,2596643,da755149-dd67-5c87-e053-2995a90a1e77
10257,00363083701,0363-0837,0363-0837-01,646333,da818dd5-bf64-46c2-a3ad-440b2874edbb
10258,76348058504,76348-585,76348-585-04,317564,da840bf6-ed65-bafc-e053-2a95a90a92d5
10259,62742420801,62742-4208,62742-4208-1,106309,da87cbbf-12ca-3224-e053-2995a90a25e4
10262,25021031720,25021-317,25021-317-20,896771,da8af6c2-d822-4ae5-9c2d-a1d161bdefd0
10264,69315028109,69315-281,69315-281-09,828379,daa488be-f580-430c-a72c-80ac31bb3e40
10265,69315028209,69315-282,69315-282-09,828373,daa488be-f580-430c-a72c-80ac31bb3e40
10266,42582090006,42582-900,42582-900-06,706548,dacbcc5a-d37c-4ea3-8f47-35abb64c7519
10267,71511050330,71511-503,71511-503-30,1050338,dad35a6f-d57e-f302-e053-2995a90a9efb
10268,60760006906,60760-069,60760-069-06,198335,daeac206-805d-87a5-e053-2995a90ade42
10269,64024000808,64024-008,64024-008-08,247835,dafa52fe-42e6-2c21-e053-2995a90a413f
10270,37808019148,37808-191,37808-191-48,1311150,db19b8c7-0334-0664-e053-2a95a90ad61f
10272,00363099312,0363-0993,0363-0993-12,240464,db2779e8-ebd4-3a03-e053-2995a90ac4b5
10273,37808009316,37808-093,37808-093-16,1086997,db432947-fe02-79b2-e053-2a95a90af4a9
10274,37808009516,37808-095,37808-095-16,1094549,db44560b-da02-74c9-e053-2a95a90af0b6
10275,72189034109,72189-341,72189-341-09,312837,db489d19-1509-c979-e053-2a95a90a4410
10276,68071266001,68071-2660,68071-2660-1,197319,db496bce-6609-90dc-e053-2995a90a1efc
10277,68071266402,68071-2664,68071-2664-2,857002,db49f453-2211-4969-e053-2995a90abb0f
10279,68071266203,68071-2662,68071-2662-3,197900,db4a3ca5-d498-6f75-e053-2995a90a1f94
10282,68071266304,68071-2663,68071-2663-4,310604,db4a5925-e864-42ba-e053-2a95a90ad381
10283,68071266604,68071-2666,68071-2666-4,197900,db63568b-54b5-1abf-e053-2a95a90ac4a7
10285,65862077430,65862-774,65862-774-30,349477,db6bb2d1-c080-485b-978d-26c693a12dbd
10286,69844004701,69844-047,69844-047-01,477367,db6c24ae-e44b-456c-8e73-5961313ccf08
10288,69844004801,69844-048,69844-048-01,477372,db6c24ae-e44b-456c-8e73-5961313ccf08
10290,73629000318,73629-003,73629-003-18,311372,db71197e-d633-644d-e053-2a95a90a261d
10291,44118070102,44118-701,44118-701-02,1494826,db71ee55-bbdd-0996-e053-2a95a90a5687
10292,51452017301,51452-173,51452-173-01,1249758,db72a44e-a827-9fa5-e053-2995a90aa7de
10293,68071182605,68071-1826,68071-1826-5,308189,db73ebaa-9897-7505-e053-2a95a90a0c62
10294,44118070302,44118-703,44118-703-02,1494824,db747368-d45d-64e3-e053-2995a90a1fb8
10295,44118070401,44118-704,44118-704-01,1436949,db751fea-59d7-314c-e053-2a95a90ae382
10297,44118070201,44118-702,44118-702-01,1494827,db7601fa-a47b-bb58-e053-2995a90aa123
10299,52187054905,52187-549,52187-549-05,1494097,db83b517-90d5-44f2-e053-2995a90a2cf3
10300,52187054802,52187-548,52187-548-02,1494174,db841a96-42cb-6ff6-e053-2995a90a7cca
10301,55150036401,55150-364,55150-364-01,309594,db84d0ea-5c15-47f5-bbe2-8d455e75695e
10304,52187054610,52187-546,52187-546-10,1494169,db857027-0175-e452-e053-2995a90a4df5
10305,68071266705,68071-2667,68071-2667-5,103456,db86f8bd-1537-f6dd-e053-2a95a90a672e
10306,68071266802,68071-2668,68071-2668-2,857002,db87c7e5-5df8-dae9-e053-2995a90a863b
10309,41250068071,41250-680,41250-680-71,849574,db87d1da-8507-4bbf-aefc-3dbd48cde26b
10312,72189034201,72189-342,72189-342-01,197699,db886cfe-ea23-50c9-e053-2995a90a4d10
10313,59316012020,59316-120,59316-120-20,1489074,db982baf-31ea-4f09-90e3-cd5facb5dfe5
10315,62742421101,62742-4211,62742-4211-1,251577,db9b5de2-c07c-0b21-e053-2995a90ae9a9
10317,60760086807,60760-868,60760-868-07,198051,db9f071b-85f4-061f-e053-2995a90a3ff5
10320,10578013505,10578-135,10578-135-05,1549850,dba1d268-ebab-0ac7-e053-2a95a90ad4b6
10321,62742421201,62742-4212,62742-4212-1,308688,dbb27841-7c9e-6d00-e053-2a95a90a6ab1
10323,43063047714,43063-477,43063-477-14,979485,dbb75191-a16d-49d4-a41d-33914d6a9f08
10324,55289061814,55289-618,55289-618-14,152697,dbbc6373-e9ae-4215-8d08-5f6667a936d1
10326,52000001936,52000-019,52000-019-36,204602,dbc66ae7-6c0a-4fc3-b7a7-78e4656a29c0
