ndc11,ndc9,unit_price,year,generic_brand
378705752,3787057,0.13645,2022,1
591346753,5913467,0.13645,2022,1
76204001055,762040010,0.13645,2022,1
487030101,4870301,0.2388,2022,1
76204001001,762040010,0.2388,2022,1
378699252,3786992,0.19837,2022,1
378705852,3787058,0.19837,2022,1
487990425,4879904,0.19837,2022,1
591346853,5913468,0.19837,2022,1
76204001155,762040011,0.19837,2022,1
487990401,4879904,0.27434,2022,1
76204001101,762040011,0.27434,2022,1
378827091,3788270,0.04234,2022,1
487950160,4879501,0.04234,2022,1
47335070354,473350703,0.04234,2022,1
76204020060,762040200,0.04234,2022,1
378827052,3788270,0.04259,2022,1
378827062,3788270,0.04259,2022,1
487950125,4879501,0.04259,2022,1
47335070349,473350703,0.04259,2022,1
76204020025,762040200,0.04259,2022,1
378827055,3788270,0.04264,2022,1
378827064,3788270,0.04264,2022,1
378827093,3788270,0.04264,2022,1
487950101,4879501,0.04264,2022,1
487950103,4879501,0.04264,2022,1
47335070352,473350703,0.04264,2022,1
60687039583,606870395,0.04264,2022,1
76204020001,762040200,0.04264,2022,1
76204020030,762040200,0.04264,2022,1
472082516,4720825,0.03924,2022,1
50383074016,503830740,0.03924,2022,1
62135018947,621350189,0.03924,2022,1
70752010212,707520102,0.03924,2022,1
378025501,3780255,0.32218,2022,1
51079065701,510790657,0.32218,2022,1
51079065720,510790657,0.32218,2022,1
53489017601,534890176,0.32218,2022,1
53489017605,534890176,0.32218,2022,1
64980044201,649800442,0.32218,2022,1
68084094925,680840949,0.32218,2022,1
68084094995,680840949,0.32218,2022,1
69238134401,692381344,0.32218,2022,1
69543029010,695430290,0.32218,2022,1
70710106101,707101061,0.32218,2022,1
75834027301,758340273,0.32218,2022,1
378057201,3780572,0.44633,2022,1
53489017701,534890177,0.44633,2022,1
53489017705,534890177,0.44633,2022,1
64980044301,649800443,0.44633,2022,1
68084095225,680840952,0.44633,2022,1
68084095295,680840952,0.44633,2022,1
69238134501,692381345,0.44633,2022,1
69543029110,695430291,0.44633,2022,1
70710106201,707101062,0.44633,2022,1
75834027401,758340274,0.44633,2022,1
168026415,1680264,0.83809,2022,1
51672131601,516721316,0.83809,2022,1
68462029917,684620299,0.83809,2022,1
168026360,1680263,0.59833,2022,1
51672130603,516721306,0.59833,2022,1
68462030065,684620300,0.59833,2022,1
168026345,1680263,1.26389,2022,1
51672130606,516721306,1.26389,2022,1
68462030047,684620300,1.26389,2022,1
168026315,1680263,1.36267,2022,1
51672130601,516721306,1.36267,2022,1
68462030017,684620300,1.36267,2022,1
68599580405,685995804,0.01243,2022,1
16714063101,167140631,0.12503,2022,1
16714063102,167140631,0.12503,2022,1
64980034001,649800340,0.12503,2022,1
64980034003,649800340,0.12503,2022,1
16714063201,167140632,0.33672,2022,1
16714063202,167140632,0.33672,2022,1
47335063768,473350637,0.33672,2022,1
64980034114,649800341,0.33672,2022,1
65862032804,658620328,0.33672,2022,1
69097022316,690970223,0.33672,2022,1
69097022376,690970223,0.33672,2022,1
69543013004,695430130,0.33672,2022,1
69543013012,695430130,0.33672,2022,1
76282068145,762820681,0.33672,2022,1
16714063301,167140633,0.29254,2022,1
16714063302,167140633,0.29254,2022,1
47335063868,473350638,0.29254,2022,1
64980034214,649800342,0.29254,2022,1
65862032904,658620329,0.29254,2022,1
69097022416,690970224,0.29254,2022,1
69097022476,690970224,0.29254,2022,1
69543013104,695430131,0.29254,2022,1
69543013112,695430131,0.29254,2022,1
69543013120,695430131,0.29254,2022,1
76282068245,762820682,0.29254,2022,1
46122045773,461220457,0.07625,2022,1
13668002101,136680021,0.11588,2022,1
13668002105,136680021,0.11588,2022,1
